id,Latitude,Longitude,crs,SOVEREIGN1,TERRITORY1,ECO_CODE,ECOREGION,REALM
17921,7.897422000000001,98.28733,4326,Thailand,Thailand,20110,Andaman Sea Coral Coast,Western Indo-Pacific
20986,8.0291007366,98.4169034846,4326,Thailand,Thailand,20110,Andaman Sea Coral Coast,Western Indo-Pacific
21293,8.0291007366,98.4169034846,4326,Thailand,Thailand,20110,Andaman Sea Coral Coast,Western Indo-Pacific
23218,27.358921,49.907959,4326,Saudi Arabia,Saudi Arabia,20090,Arabian (Persian) Gulf,Western Indo-Pacific
23219,27.71522,49.81681,4326,Saudi Arabia,Saudi Arabia,20090,Arabian (Persian) Gulf,Western Indo-Pacific
23220,27.715259999999997,49.83419670000001,4326,Saudi Arabia,Saudi Arabia,20090,Arabian (Persian) Gulf,Western Indo-Pacific
23224,27.71522,49.81681,4326,Saudi Arabia,Saudi Arabia,20090,Arabian (Persian) Gulf,Western Indo-Pacific
23225,27.715259999999997,49.83419670000001,4326,Saudi Arabia,Saudi Arabia,20090,Arabian (Persian) Gulf,Western Indo-Pacific
24137,27.36683,49.88748899999999,4326,Saudi Arabia,Saudi Arabia,20090,Arabian (Persian) Gulf,Western Indo-Pacific
24138,27.71522,49.81681,4326,Saudi Arabia,Saudi Arabia,20090,Arabian (Persian) Gulf,Western Indo-Pacific
24139,27.715259999999997,49.83419670000001,4326,Saudi Arabia,Saudi Arabia,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16936,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16957,25.989909150000006,56.06551724,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16959,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16961,24.598580279999993,54.42014881,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16964,25.258739999999992,54.20809,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16965,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16947,24.629220000000004,54.2503,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16948,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16939,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16940,25.54342629,55.59221263,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16942,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16949,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16956,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16958,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16960,24.847596320000008,54.69025958,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16962,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16963,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16966,25.21504,54.222649999999994,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16975,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16979,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16968,25.24414,54.197230000000005,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16970,24.847596320000008,54.69025958,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16971,25.54342629,55.59221263,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16973,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16974,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16980,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16982,25.258739999999992,54.20809,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
