db,country,site,latitude,longitude
darling_etal_2019,American Samoa,Alofau_Reef flats,-14.28166667,-170.605
darling_etal_2019,American Samoa,Amaua_Reef flats,-14.27833333,-170.6216667
darling_etal_2019,American Samoa,Amaua_Reef slope,-14.27363333,-170.6218667
darling_etal_2019,American Samoa,Aoa_Reef flats,-14.26333333,-170.5883333
darling_etal_2019,American Samoa,Aoa_Reef slope,-14.2579,-170.5888667
darling_etal_2019,American Samoa,Aunuu_Reef slope,-14.2846,-170.5636333
darling_etal_2019,American Samoa,Coconut_Reef slope,-14.32,-170.695
darling_etal_2019,American Samoa,Faga_Reef flats,-14.29833333,-170.6816667
darling_etal_2019,American Samoa,Fagaalu_Reef slope,-14.29006667,-170.6766333
darling_etal_2019,American Samoa,Fagamalo_Reef slope,-14.29786667,-170.8121
darling_etal_2019,American Samoa,Fagasa_Reef flats,-14.29166667,-170.725
darling_etal_2019,American Samoa,Fagasa_Reef slope,-14.2836,-170.72305
darling_etal_2019,American Samoa,Fagatele_Reef flats,-14.36833333,-170.7583333
darling_etal_2019,American Samoa,Fagatele_Reef slope,-14.36431667,-170.76255
darling_etal_2019,American Samoa,Gataivai_Reef flats,-14.28833333,-170.68
darling_etal_2019,American Samoa,Leone_Reef flats,-14.34333333,-170.785
darling_etal_2019,American Samoa,Leone_Reef slope,-14.34223333,-170.7889833
darling_etal_2019,American Samoa,Tafeu_Reef slope,-14.25181667,-170.6892333
darling_etal_2019,American Samoa,Vatia_Reef flats,-14.255,-170.67
darling_etal_2019,American Samoa,Vatia_Reef slope,-14.24813333,-170.6700833
uq_photoquadrat,Anguilla,uq_25018,18.169235,-63.08551167
uq_photoquadrat,Anguilla,uq_25019,18.1867083,-63.05478
uq_photoquadrat,Anguilla,uq_25020,18.207655,-63.017585
uq_photoquadrat,Anguilla,uq_25021,18.2742583,-63.09004333
uq_photoquadrat,Anguilla,uq_25022,18.26539,-63.10601833
uq_photoquadrat,Anguilla,uq_25023,18.2608183,-63.167885
uq_photoquadrat,Anguilla,uq_25024,18.2143917,-63.11957167
uq_photoquadrat,Anguilla,uq_25025,18.2929833,-62.95491667
uq_photoquadrat,Anguilla,uq_25026,18.2847933,-62.93577167
uq_photoquadrat,Anguilla,uq_25027,18.2694117,-62.95758833
uq_photoquadrat,Anguilla,uq_25028,18.2796667,-63.23139
uq_photoquadrat,Anguilla,uq_25029,18.2699117,-63.25789833
uq_photoquadrat,Anguilla,uq_25030,18.2876067,-63.26249667
uq_photoquadrat,Anguilla,uq_25031,18.2635667,-63.0155
uq_photoquadrat,Anguilla,uq_25032,18.2577267,-63.034675
uq_photoquadrat,Aruba,uq_17006,12.45051,-69.957728
uq_photoquadrat,Aruba,uq_17050,12.492546,-70.022899
uq_photoquadrat,Aruba,uq_17051,12.4699596,-69.98703808
darling_etal_2019,Australia,1-WestofBluebellIsand,-20.40087334,115.500352
darling_etal_2019,Australia,10-AhChongChannel,-20.5083,115.54345000000001
darling_etal_2019,Australia,11-WestofAhChongIs,-20.50629,115.56466
darling_etal_2019,Australia,12-ShelfSlopeEastofBlackRk.,-20.5551125,115.5725
darling_etal_2019,Australia,13,-20.556085,115.571925
darling_etal_2019,Australia,14-ShelfSlopeNEofBrindledIs,-20.62876633,115.5833
darling_etal_2019,Australia,15-SofVaranusIs,-20.71902351,115.5774108
darling_etal_2019,Australia,16-SELowendalShelf,-20.78455251,115.52529
darling_etal_2019,Australia,17-ELowendalShelf,-20.75616001,115.5743925
darling_etal_2019,Australia,18-SouthLowendalShelf,-20.783575,115.500025
darling_etal_2019,Australia,19-InsideWonnichReef,-20.51,115.4776
darling_etal_2019,Australia,1a,-20.401340480000002,115.5007138
darling_etal_2019,Australia,2-PittPtTrimouilleIs,-20.38758486,115.5644492
darling_etal_2019,Australia,20-EastDugongReef,-20.9024,115.461725
darling_etal_2019,Australia,21-CentralDugongReef,-20.8999625,115.4512075
darling_etal_2019,Australia,23-SouthBatmanReef,-20.9256,115.4652227
darling_etal_2019,Australia,24-NorthBatmanReef,-20.94784001,115.4625857
darling_etal_2019,Australia,25-NorthernBarrowIsandShoals,-20.99483999,115.4799
darling_etal_2019,Australia,26-CentralEastBarrowIsandShoals,-21.07752207,115.5133309
darling_etal_2019,Australia,27-WestLowendalShelf,-20.80421667,115.4811
darling_etal_2019,Australia,28-SEDugongReef,-20.90775,115.462225
darling_etal_2019,Australia,29-NorthDoubleIsand,-20.81835,115.494447
darling_etal_2019,Australia,31-SEBarrowIsandShoals,-21.0461475,115.47076
darling_etal_2019,Australia,32-LNG3,-20.8597777,115.4916
darling_etal_2019,Australia,4-NorthBunsenChannel,-20.3688,115.5256
darling_etal_2019,Australia,5-SackBayNorthWestIs,-20.39475,115.54215
darling_etal_2019,Australia,6-BenedictineBayTrimouilleIs,-20.40545,115.5818
darling_etal_2019,Australia,7-SouthernEndofWestReef,-20.45270947,115.4783627
darling_etal_2019,Australia,8-StephensonChannel,-20.46618,115.54688
darling_etal_2019,Australia,80 Acres,-25.54564333,113.5288333
darling_etal_2019,Australia,9-ShoalsSouthofKarangiIs,-20.45112999,115.60535
