Date,Reef,Lat,Long
13-Mar-16,Clipperton,10.29230,-109.22709
13-Mar-16,Clipperton,10.29899,-109.23338
14-Mar-16,Clipperton,10.30706,-109.23773
14-Mar-16,Clipperton,10.32106,-109.22913
14-Mar-16,Clipperton,10.28457,-109.21030
15-Mar-16,Clipperton,10.31494,-109.21211
15-Mar-16,Clipperton,10.30358,-109.19796
16-Mar-16,Clipperton,10.29423,-109.20042
16-Mar-16,Clipperton,10.28636,-109.22016
17-Mar-16,Clipperton,10.31207,-109.20273
17-Mar-16,Clipperton,10.29929,-109.19892
17-Mar-16,Clipperton,10.28839,-109.20377
19-Mar-16,Clipperton,10.31539,-109.23615
19-Mar-16,Clipperton,10.31713,-109.21667
17-Mar-22,Tribuga_Colombia,5.87327,-77.31361
17-Mar-22,Tribuga_Colombia,5.81273,-77.29748
18-Mar-22,Tribuga_Colombia,5.58692,-77.50764
18-Mar-22,Tribuga_Colombia,5.61120,-77.48592
19-Mar-22,Tribuga_Colombia,5.87153,-77.31043
20-Mar-22,Tribuga_Colombia,5.96800,-77.34893
20-Mar-22,Tribuga_Colombia,6.00959,-77.34657
20-Mar-22,Tribuga_Colombia,5.98065,-77.34878
22-Mar-22,Tribuga_Colombia,5.50389,-77.53361
22-Mar-22,Tribuga_Colombia,5.54423,-77.51568
23-Mar-22,Tribuga_Colombia,5.63132,-77.38979
23-Mar-22,Tribuga_Colombia,5.63311,-77.39925
23-Mar-22,Tribuga_Colombia,5.63361,-77.39944
24-Mar-22,Tribuga_Colombia,5.58024,-77.51381
25-Mar-22,Tribuga_Colombia,5.50321,-77.53918
25-Mar-22,Tribuga_Colombia,5.48356,-77.54118
26-Mar-22,Tribuga_Colombia,5.87122,-77.31226
27-Mar-22,Tribuga_Colombia,5.97351,-77.34911
27-Mar-22,Tribuga_Colombia,5.97190,-77.34819
28-Mar-22,Tribuga_Colombia,5.99850,-77.36400
09-Apr-22,San_Andres_Colombia,15.80243,-78.76689
10-Apr-22,San_Andres_Colombia,15.83993,-78.65032
10-Apr-22,San_Andres_Colombia,15.83630,-78.65800
10-Apr-22,San_Andres_Colombia,15.83587,-78.66252
11-Apr-22,San_Andres_Colombia,15.84426,-78.64373
11-Apr-22,San_Andres_Colombia,15.86376,-78.63087
11-Apr-22,San_Andres_Colombia,15.87639,-78.64217
12-Apr-22,San_Andres_Colombia,15.89661,-78.65769
12-Apr-22,San_Andres_Colombia,15.88268,-78.65158
12-Apr-22,San_Andres_Colombia,15.86179,-78.68062
13-Apr-22,San_Andres_Colombia,15.89085,-78.64668
13-Apr-22,San_Andres_Colombia,15.85280,-78.66281
13-Apr-22,San_Andres_Colombia,15.84348,-78.67989
14-Apr-22,San_Andres_Colombia,15.91324,-78.56733
14-Apr-22,San_Andres_Colombia,15.89064,-78.64276
15-Apr-22,San_Andres_Colombia,15.81995,-79.84394
15-Apr-22,San_Andres_Colombia,15.79122,-79.84983
16-Apr-22,San_Andres_Colombia,15.79338,-79.84024
16-Apr-22,San_Andres_Colombia,15.79213,-79.84520
16-Apr-22,San_Andres_Colombia,15.7972,-79.8509
17-Apr-22,San_Andres_Colombia,15.81190,-79.84140
17-Apr-22,San_Andres_Colombia,15.80596,-79.83941
17-Apr-22,San_Andres_Colombia,15.79182,-79.84908
18-Apr-22,San_Andres_Colombia,15.79138,-79.84600
18-Apr-22,San_Andres_Colombia,15.80386,-79.85239
19-Apr-22,San_Andres_Colombia,15.79340,-79.85183
11-Mar-19,Osa_Peninsula_Costa_Rica,8.71033,-83.89585
11-Mar-19,Osa_Peninsula_Costa_Rica,8.71834,-83.87643
12-Mar-19,Osa_Peninsula_Costa_Rica,8.69711,-83.89093
12-Mar-19,Osa_Peninsula_Costa_Rica,8.6951,-83.87769
12-Mar-19,Osa_Peninsula_Costa_Rica,8.71165,-83.86414
13-Mar-19,Osa_Peninsula_Costa_Rica,8.69982,-83.8658
13-Mar-19,Osa_Peninsula_Costa_Rica,8.701,-83.91454
13-Mar-19,Osa_Peninsula_Costa_Rica,8.71446,-83.88185
14-Mar-19,Osa_Peninsula_Costa_Rica,8.73156,-83.83295
14-Mar-19,Osa_Peninsula_Costa_Rica,8.70609,-83.86473
14-Mar-19,Osa_Peninsula_Costa_Rica,8.71369,-83.89156
15-Mar-19,Osa_Peninsula_Costa_Rica,8.37229,-83.29377
15-Mar-19,Osa_Peninsula_Costa_Rica,8.3687,-83.28733
15-Mar-19,Osa_Peninsula_Costa_Rica,8.3687,-83.28733
16-Mar-19,Osa_Peninsula_Costa_Rica,8.50798,-83.66988
16-Mar-19,Osa_Peninsula_Costa_Rica,8.505,-83.667
17-Mar-19,Osa_Peninsula_Costa_Rica,8.60536,-83.74113
17-Mar-19,Osa_Peninsula_Costa_Rica,8.638,-83.7374
17-Mar-19,Osa_Peninsula_Costa_Rica,8.71,-83.89
18-Mar-19,Osa_Peninsula_Costa_Rica,8.70035,-83.918833
18-Mar-19,Osa_Peninsula_Costa_Rica,8.702,-83.9145
18-Mar-19,Osa_Peninsula_Costa_Rica,8.7022,-83.89783
19-Mar-19,Osa_Peninsula_Costa_Rica,8.71911,-83.86627
19-Mar-19,Osa_Peninsula_Costa_Rica,8.70533,-83.89727
19-Mar-19,Osa_Peninsula_Costa_Rica,8.71336,-83.881
20-Mar-19,Osa_Peninsula_Costa_Rica,8.702,-83.9145
20-Mar-19,Osa_Peninsula_Costa_Rica,8.69939,-83.87039
20-Mar-19,Osa_Peninsula_Costa_Rica,8.702,-83.9145
21-Mar-19,Osa_Peninsula_Costa_Rica,8.469133,-83.796733
22-Mar-19,Osa_Peninsula_Costa_Rica,8.58146,-83.72174
26-Nov-22,Dominica,15.271368,-61.376185
27-Nov-22,Dominica,15.236687,-61.372480
27-Nov-22,Dominica,15.238426,-61.371614
27-Nov-22,Dominica,15.215671,-61.372979
28-Nov-22,Dominica,15.216792,-61.377669
28-Nov-22,Dominica,15.214983,-61.377104
28-Nov-22,Dominica,15.243160,-61.373930
29-Nov-22,Dominica,15.439069,-61.452102
29-Nov-22,Dominica,15.438110,-61.445850
29-Nov-22,Dominica,15.417850,-61.433742
30-Nov-22,Dominica,15.448340,-61.450500
30-Nov-22,Dominica,15.501344,-61.469266
30-Nov-22,Dominica,15.525584,-61.474262
01-Dec-22,Dominica,15.590646,-61.472524
01-Dec-22,Dominica,15.584871,-61.479414
01-Dec-22,Dominica,15.593343,-61.466594
02-Dec-22,Dominica,15.608519,-61.466087
02-Dec-22,Dominica,15.610632,-61.467243
02-Dec-22,Dominica,15.613859,-61.468066
03-Dec-22,Dominica,15.380400,-61.412272
03-Dec-22,Dominica,15.356986,-61.396358
03-Dec-22,Dominica,15.320184,-61.395248
04-Dec-22,Dominica,15.419585,-61.247428
04-Dec-22,Dominica,15.392542,-61.244043
04-Dec-22,Dominica,15.240857,-61.291553
05-Dec-22,Dominica,15.206665,-61.362387
05-Dec-22,Dominica,15.207822,-61.366378
05-Dec-22,Dominica,15.214511,-61.377264
06-Dec-22,Dominica,15.596416,-61.328086
06-Dec-22,Dominica,15.599877,-61.342377
07-Dec-22,Dominica,15.608013,-61.396916
07-Dec-22,Dominica,15.615516,-61.400801
07-Dec-22,Dominica,15.640608,-61.422488
09-Dec-22,Dominica,15.462718,-61.456116
09-Dec-22,Dominica,15.493738,-61.469467
09-Dec-22,Dominica,15.545952,-61.476129
29-Mar-09,Flint,-11.41539,-151.82736
30-Mar-09,Flint,-11.41924,-151.82739
29-Mar-09,Flint,-11.42692,-151.82747
29-Mar-09,Flint,-11.43100,-151.82500
29-Mar-09,Flint,-11.43911,-151.81964
31-Mar-09,Flint,-11.44423,-151.81709
31-Mar-09,Flint,-11.44743,-151.81354
31-Mar-09,Flint,-11.45005,-151.80664
31-Mar-09,Flint,-11.44430,-151.80905
30-Mar-09,Flint,-11.44061,-151.81027
30-Mar-09,Flint,-11.42491,-151.81630
30-Mar-09,Flint,-11.41915,-151.81836
30-Mar-09,Flint,-11.41604,-151.82100
30-Mar-09,Flint,-11.42843,-151.82649
14-Apr-09,Malden,-4.01351,-154.97100
13-Apr-09,Malden,-4.00709,-154.97105
10-Apr-09,Malden,-3.99656,-154.96609
10-Apr-09,Malden,-3.99617,-154.95502
10-Apr-09,Malden,-3.99531,-154.94452
10-Apr-09,Malden,-3.99443,-154.93530
10-Apr-09,Malden,-3.99477,-154.92587
10-Apr-09,Malden,-3.99199,-154.91693
14-Apr-09,Malden,-3.98598,-154.90797
14-Apr-09,Malden,-3.98507,-154.89751
14-Apr-09,Malden,-3.98337,-154.88728
12-Apr-09,Malden,-4.00242,-154.89528
12-Apr-09,Malden,-4.01096,-154.89906
12-Apr-09,Malden,-4.01975,-154.90361
12-Apr-09,Malden,-4.02915,-154.90294
13-Apr-09,Malden,-4.03811,-154.90166
11-Apr-09,Malden,-4.04852,-154.90070
13-Apr-09,Malden,-4.04728,-154.90620
13-Apr-09,Malden,-4.05073,-154.91411
11-Apr-09,Malden,-4.04567,-154.93600
13-Apr-09,Malden,-4.05017,-154.92867
11-Apr-09,Malden,-4.05425,-154.92235
11-Apr-09,Malden,-4.03326,-154.95094
11-Apr-09,Malden,-4.02688,-154.95740
12-Apr-09,Malden,-4.02150,-154.96535
16-Apr-09,Millennium,-10.00454,-150.23883
16-Apr-09,Millennium,-9.97943,-150.22893
16-Apr-09,Millennium,-9.97119,-150.22182
16-Apr-09,Millennium,-9.96073,-150.21779
16-Apr-09,Millennium,-9.94965,-150.21533
17-Apr-09,Millennium,-9.93986,-150.21259
17-Apr-09,Millennium,-9.92863,-150.21028
17-Apr-09,Millennium,-9.91672,-150.21072
17-Apr-09,Millennium,-9.90666,-150.21318
19-Apr-09,Millennium,-9.90191,-150.20662
19-Apr-09,Millennium,-9.90774,-150.19974
19-Apr-09,Millennium,-9.91646,-150.19669
19-Apr-09,Millennium,-9.92773,-150.19443
22-Apr-09,Millennium,-9.93720,-150.19563
22-Apr-09,Millennium,-9.95040,-150.19272
