FID,country,area,location,site_code,site_name,old_site_codes,latitude,longitude,realm,province,ecoregion,lat_zone,programs,geom
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54de,Canada,British Columbia,Vancouver,BMSC6,Baeria Rocks South Island,,48.95,-125.16,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.16 48.95)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54dd,Australia,New South Wales,Solitary Islands,SI32,Arrawarra Headland,,-30.06,153.2,Temperate Australasia,East Central Australian Shelf,Tweed-Moreton,Temperate,RLS,POINT (153.2 -30.06)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54dc,Australia,New South Wales,Solitary Islands,SI31,Woolgoolga Beach,,-30.11,153.2,Temperate Australasia,East Central Australian Shelf,Tweed-Moreton,Temperate,RLS,POINT (153.2 -30.11)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54db,Australia,Western Australia,Jurien,JMP-S44,Inner Sams Reef,,-30.48,115.05,Temperate Australasia,West Central Australian Shelf,Houtman,Temperate,ATRC,POINT (115.05 -30.48)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54da,Australia,Tasmania,Tasmania - South East,TAS164,Trumpeter Bay North,"1810,SBIR08,TBN",-43.15,147.39,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (147.39 -43.15)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54d9,Australia,Tasmania,Tasmania - South East,RR,Roaring,,-43.1,147.68,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (147.68 -43.1)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54d8,Canada,British Columbia,British Columbia,BMSC8,Baeria Rocks North Island Northside,,48.96,-125.15,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.15 48.96)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54d7,Canada,British Columbia,British Columbia,BMSC7,Baeria Rocks North Island Southside,,48.95,-125.15,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.15 48.95)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54d6,Canada,British Columbia,Vancouver,BMSC3,Ohiat,,48.86,-125.18,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.18 48.86)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54d5,Canada,British Columbia,British Columbia,BMSC13,Effingham West,,48.87,-125.31,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.31 48.87)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-54d4,Canada,British Columbia,British Columbia,BMSC20,Ed King East,,48.84,-125.21,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Temperate,RLS,POINT (-125.21 48.84)
